Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
3131 099 033 089 033 044
3232 088 043 073 099 012
3333 088 100 100 090 089
3434 100 100 100 100 100
3535 010 029 030 030 040
3636 040 100 030 040 050
3737 090 080 070 033 044
3838 044 044 022 011 010
3939 022 044 022 013 077
4040 022 044 022 011 100
4141 100 100 100 100 100
4242 000 000 000 000 000
4343 022 022 022 022 022
4444 100 100 100 100 100
4545 098 099 099 097 096
