Stud Qu1 Qu2 Qu3 Qu4 Qu5 
1234 052 070 095 078 098
2134 090 086 090 077 096
3124 095 045 098 090 070
4532 085 070 081 096 077
5678 098 086 045 078 098
6134 098 080 055 078 050
7874 060 095 056 078 078
8067 070 100 066 078 056
9893 098 090 077 078 098
1947 045 097 088 078 055
2877 055 050 099 078 080
3189 076 070 095 078 077
4602 089 050 091 078 060
5405 085 085 090 078 095
6999 090 098 089 078 098
6475 066 055 067 054 076
6475 066 055 067 054 076
4923 092 050 077 069 063 
3316 098 068 043 090 098 
8416 081 067 065 093 083 
3902 093 085 065 087 062 
7229 096 098 054 096 072 
5671 052 096 086 073 086 
3314 076 070 088 079 062 
3069 070 060 093 076 092 
2573 062 096 073 100 060 
8796 056 083 098 098 072 
5996 070 073 096 049 086
3417 075 056 043 050 081 
7450 067 097 086 059 058 
1666 096 056 091 080 090
6122 094 078 098 050 067 
9530 044 073 084 098 098 
4382 096 070 048 049 096 
8461 086 044 081 095 056 
3278 097 070 080 067 096
3892 067 067 098 098 091 
5959 044 080 067 097 097
9452 063 084 090 061 059
8382 079 096 073 073 095
